T          V        N   RS       MinV       MaxV
1355295773 1.800050 007 12.601350 1.800050 1.800350
1355295774 1.799850 008 14.401200 1.799850 1.800350
1355295776 1.799650 009 16.200850 1.799650 1.800350
1355295786 1.800050 009 16.200750 1.799650 1.800350
1355295787 1.800350 010 18.001100 1.799650 1.800350
1355295798 1.799950 009 16.200850 1.799650 1.800350
1355295809 1.799650 009 16.200150 1.799650 1.800350
1355295814 1.799350 010 17.999500 1.799350 1.800350
1355295818 1.799250 010 17.998500 1.799250 1.800350
1355295836 1.798750 007 12.597350 1.798750 1.800350
1355295839 1.798850 008 14.396200 1.798750 1.800350
1355295863 1.798950 006 10.794800 1.798750 1.799650
1355295870 1.798650 006 10.793800 1.798650 1.799350
1355295870 1.798850 007 12.592650 1.798650 1.799350
1355295891 1.799050 006 10.793100 1.798650 1.799050
1355295906 1.799150 005 8.994650 1.798650 1.799150
1355295913 1.799250 006 10.793900 1.798650 1.799250
1355295914 1.799150 007 12.593050 1.798650 1.799250
1355295929 1.799350 007 12.593450 1.798650 1.799350
1355295934 1.799250 006 10.795200 1.799050 1.799350
1355295945 1.799350 007 12.594550 1.799050 1.799350
1355295945 1.799250 008 14.393800 1.799050 1.799350
1355295948 1.799150 009 16.192950 1.799050 1.799350
1355295960 1.799350 009 16.193250 1.799150 1.799350
1355295967 1.799250 009 16.193350 1.799150 1.799350
1355295981 1.799150 008 14.394100 1.799150 1.799350
1355295989 1.798950 008 14.393700 1.798950 1.799350
1355295993 1.798850 009 16.192550 1.798850 1.799350
1355296018 1.798750 006 10.794300 1.798750 1.799350
1355296025 1.798850 006 10.793800 1.798750 1.799250
1355296026 1.798750 007 12.592550 1.798750 1.799250
1355296060 1.798650 004 7.195000 1.798650 1.798850
1355296060 1.798750 005 8.993750 1.798650 1.798850
1355296060 1.798650 006 10.792400 1.798650 1.798850
1355296075 1.798750 007 12.591150 1.798650 1.798850
1355296086 1.798850 005 8.993650 1.798650 1.798850
1355296104 1.798950 006 10.792600 1.798650 1.798950
1355296111 1.798750 007 12.591350 1.798650 1.798950
1355296131 1.798650 005 8.993950 1.798650 1.798950
1355296144 1.798550 005 8.993750 1.798550 1.798950
1355296156 1.798650 005 8.993550 1.798550 1.798950
1355296156 1.798450 006 10.792000 1.798450 1.798950
1355296171 1.798550 005 8.992850 1.798450 1.798650
1355296220 1.798450 002 3.597000 1.798450 1.798550
1355296228 1.798350 003 5.395350 1.798350 1.798550
1355296233 1.798450 003 5.395250 1.798350 1.798450
1355296294 1.798150 001 1.798150 1.798150 1.798150
1355296341 1.798550 002 3.596700 1.798150 1.798550
1355296355 1.798650 002 3.597200 1.798550 1.798650
1355296376 1.798750 003 5.395950 1.798550 1.798750
1355296376 1.798550 004 7.194500 1.798550 1.798750
1355296383 1.798650 005 8.993150 1.798550 1.798750
1355296426 1.798750 004 7.194700 1.798550 1.798750
1355296426 1.798850 005 8.993550 1.798550 1.798850
1355296435 1.798750 006 10.792300 1.798550 1.798850
1355296435 1.798850 007 12.591150 1.798550 1.798850
1355296442 1.798750 006 10.792600 1.798650 1.798850
1355296458 1.798850 006 10.792800 1.798750 1.798850
1355296458 1.798950 007 12.591750 1.798750 1.798950
1355296470 1.798850 008 14.390600 1.798750 1.798950
1355296475 1.798750 009 16.189350 1.798750 1.798950
1355296476 1.798850 010 17.988200 1.798750 1.798950
